City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Mazagao,BR,2021-07-11 21:39:42,-0.115,-51.2894,86.05,91,51,5.32
220,Trincomalee,LK,2021-07-11 21:39:43,8.5711,81.2335,80.65,78,100,20.92
221,Eyl,SO,2021-07-11 21:30:35,7.9803,49.8164,79.02,68,55,24.56
222,Alappuzha,IN,2021-07-11 21:39:44,9.49,76.3264,78.15,86,100,13.78
223,Hamilton,US,2021-07-11 21:34:10,39.1834,-84.5333,82.78,78,20,1.01
224,Agadir,MA,2021-07-11 21:36:47,30.4202,-9.5982,91.85,55,75,1.41
225,Benguela,AO,2021-07-11 21:30:46,-12.5763,13.4055,68.61,89,3,3.51
226,Keti Bandar,PK,2021-07-11 21:39:45,24.1447,67.4497,83.28,79,100,8.97
227,Ortigueira,BR,2021-07-11 21:39:46,-24.2083,-50.9494,56.14,62,0,2.17
228,George Town,MY,2021-07-11 21:39:01,5.4112,100.3354,75.13,97,40,0.0
229,Laguna,US,2021-07-11 21:30:05,38.421,-121.4238,115.14,15,1,6.91
230,Mahon,ES,2021-07-11 21:36:41,39.8885,4.2658,75.76,88,0,8.05
231,Waddan,LY,2021-07-11 21:39:47,29.1614,16.139,80.74,38,0,11.52
232,Chapais,CA,2021-07-11 21:32:39,49.7834,-74.8492,71.38,28,3,7.52
233,Jacmel,HT,2021-07-11 21:39:47,18.2342,-72.5347,89.44,55,27,3.6
234,Dabakala,CI,2021-07-11 21:39:47,8.3667,-4.4333,73.58,86,26,4.79
235,Saint-Francois,FR,2021-07-11 21:37:03,46.4154,3.9054,65.64,76,0,5.75
236,Ibimirim,BR,2021-07-11 21:39:48,-8.5406,-37.6903,73.31,74,60,14.41
237,Jalu,LY,2021-07-11 21:33:20,29.0331,21.5482,82.78,55,0,14.09
238,Mbouda,CM,2021-07-11 21:39:48,5.6258,10.2552,61.25,98,33,4.56
239,Nizwa,OM,2021-07-11 21:30:08,22.9333,57.5333,92.26,43,85,1.77
240,Kanniyakumari,IN,2021-07-11 21:39:49,8.0833,77.5667,77.99,84,100,20.09
241,Serpneve,UA,2021-07-11 21:39:49,46.3009,29.0196,69.33,61,69,3.33
242,Pisco,PE,2021-07-11 21:34:07,-13.7,-76.2167,65.01,82,20,9.22
243,Yarmouth,US,2021-07-11 21:39:50,41.7057,-70.2286,77.65,75,1,5.99
244,Vila Franca Do Campo,PT,2021-07-11 21:34:29,37.7167,-25.4333,66.61,75,61,9.62
245,Santa Quiteria Do Maranhao,BR,2021-07-11 21:39:50,-3.5156,-42.5467,81.12,71,69,6.89
246,Mezen,RU,2021-07-11 21:39:51,65.8522,44.24,43.61,79,11,5.28
247,Puyo,EC,2021-07-11 21:39:51,-1.4667,-77.9833,70.56,89,66,2.73
248,Sabaudia,IT,2021-07-11 21:39:51,41.3003,13.0282,75.81,83,0,1.99
249,Vallenar,CL,2021-07-11 21:39:52,-28.5708,-70.7581,62.82,53,10,5.14
250,Sao Geraldo Do Araguaia,BR,2021-07-11 21:39:52,-6.4006,-48.555,83.64,40,35,2.17
251,Ilheus,BR,2021-07-11 21:39:45,-14.7889,-39.0494,75.02,83,20,8.05
252,Vestmannaeyjar,IS,2021-07-11 21:36:19,63.4427,-20.2734,53.2,89,10,8.81
