City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
374,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
375,Machilipatnam,IN,79.72,overcast clouds,16.1667,81.1333,R&B Bungalow
376,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
379,Sur,OM,88.14,few clouds,22.5667,59.5289,Sur Plaza Hotel
380,Boisar,IN,80.49,overcast clouds,19.8,72.75,Hotel Express Inn Boisar
384,Bandar-E Lengeh,IR,93.16,overcast clouds,26.5579,54.8807,کافی نت پارس
387,Bellevue,US,87.55,clear sky,47.6104,-122.2007,The Westin Bellevue
388,Maiduguri,NG,78.76,light rain,11.8464,13.1603,Kagel Mari Police Station
391,Mahibadhoo,MV,82.99,overcast clouds,3.7833,72.9667,Omadhoo Inn
392,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
398,La Spezia,IT,79.97,broken clouds,44.1105,9.8434,Hotel NH La Spezia
399,Nurota,UZ,76.84,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
402,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
405,Sawakin,SD,91.81,overcast clouds,19.1059,37.3321,فندق الدويم
410,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
417,Chatra,IN,78.78,overcast clouds,24.2167,84.8667,Shubhra Lodge
420,Altamira,BR,81.81,broken clouds,-3.2033,-52.2064,Requinte Hotel
421,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
422,Shamgarh,IN,77.58,overcast clouds,24.1833,75.6333,Hotel Shree Onkar Palace
426,Colon,PA,86.04,broken clouds,9.3592,-79.9014,Sand Diamond Hotel
427,Ahvaz,IR,94.95,scattered clouds,31.3203,48.6693,tashrifat tourism travel agency
428,Biltine,TD,79.59,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
431,Douentza,ML,89.24,broken clouds,14.9951,-2.9517,Ogomono Doumbo
433,Sarakhs,IR,77.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
435,Taylorville,US,82.29,scattered clouds,39.5489,-89.2945,Economy Inn
436,Sao Jose Da Coroa Grande,BR,75.81,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
437,Naranjal,EC,78.6,broken clouds,-2.6667,-79.6167,Media Naranja
439,Andros Town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
441,Delhi,IN,79.52,overcast clouds,28.6667,77.2167,Maidens Hotel
449,Beirut,LB,87.85,broken clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
450,Mogadishu,SO,76.69,overcast clouds,2.0371,45.3438,Hotel Juba
456,Ormara,PK,83.39,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
463,Greensboro,US,77.95,broken clouds,36.0726,-79.792,Marriott Greensboro Downtown
464,Adeje,ES,80.22,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
466,Arys,KZ,75.42,clear sky,42.4252,68.795,Gostinitsa
467,Port Hawkesbury,CA,75.58,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
468,Nouakchott,MR,78.73,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
469,Saint Anthony,US,88.86,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
470,Pasni,PK,83.25,broken clouds,25.2631,63.471,Kashmiri Hotal
475,Tripoli,LY,77.05,clear sky,32.8752,13.1875,Hotel Al-Safwa
476,Meulaboh,ID,75.18,overcast clouds,4.1363,96.1285,Kost Pria
477,Duluth,US,83.28,haze,46.7833,-92.1066,South Pier Inn
481,Boa Vista,BR,80.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
484,Lawrence,US,85.59,clear sky,38.9717,-95.2353,SpringHill Suites by Marriott Lawrence Downtown
492,Mecca,SA,88.56,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
495,San Andres,CO,81.95,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
501,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
502,Mandera,KE,76.26,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
503,Olot,ES,75.27,few clouds,42.181,2.4901,Hotel Riu Fluvià
509,Marsh Harbour,BS,83.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
510,Girne,CY,80.55,clear sky,35.3417,33.3167,Lavanta Residence
511,Abu Dhabi,AE,91.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
515,Manaure,CO,83.61,clear sky,11.7751,-72.4445,Hotel Palaaima
518,Mantua,IT,78.04,few clouds,45.1667,10.7833,Hotel la Favorita
525,Lardos,GR,76.82,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
526,Manali,IN,78.89,overcast clouds,13.1667,80.2667,Sarathy Lodge
527,Araguacu,BR,79.79,clear sky,-12.9306,-49.8264,Hotel Tocantins
531,Santa Rosa,PH,81.86,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
533,Kulhudhuffushi,MV,82.58,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
534,Mabaruma,GY,75.25,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
539,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
543,Axim,GH,75.38,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
546,Germantown,US,86.25,clear sky,39.1732,-77.2717,Fairfield Inn & Suites by Marriott Germantown Gaithersburg
551,Tabuk,PH,79.47,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
552,Cantagallo,CO,81.61,few clouds,7.376,-73.9196,Apartahotel Altamira
554,Wooster,US,80.22,clear sky,40.8051,-81.9351,Hilton Garden Inn Wooster
558,Kalur Kot,PK,80.02,overcast clouds,32.1564,71.2594,CHAAND STREET
559,Arambagh,IN,83.35,light rain,22.8833,87.7833,SDO Bunglow
560,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
564,Alexandria,EG,78.76,clear sky,31.2156,29.9553,Royal Crown Hotel
