City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
191,Necochea,AR,-38.5473,-58.7368,49.03,58,85,11.25,overcast clouds
192,Gikongoro,RW,-2.464,29.5739,61.75,65,98,2.62,overcast clouds
193,Boca Do Acre,BR,-8.7522,-67.3978,73.49,60,1,2.84,clear sky
194,Tres Arroyos,AR,-38.3739,-60.2798,46.76,47,50,13.53,scattered clouds
195,Ponta Do Sol,PT,32.6667,-17.1,72.72,78,6,4.41,clear sky
196,Chambersburg,US,39.9376,-77.6611,88.41,85,47,3.24,scattered clouds
197,Newport News,US,36.9788,-76.428,78.82,80,40,6.91,scattered clouds
198,Shache,CN,38.4167,77.2406,67.77,63,93,2.75,overcast clouds
199,Igarka,RU,67.4667,86.5833,51.03,64,21,7.56,few clouds
200,Aksu,CN,41.1231,80.2644,68.81,65,40,4.36,scattered clouds
201,Aksarka,RU,66.5606,67.7975,58.86,72,73,7.23,broken clouds
202,Acari,PE,-15.4311,-74.6158,64.96,70,21,3.49,few clouds
203,Kasongo-Lunda,CD,-6.4667,16.8167,69.58,33,55,1.74,broken clouds
204,Tibu,CO,8.639,-72.7358,79.59,74,26,2.98,scattered clouds
205,Bolu,TR,40.6667,31.5833,69.26,90,0,1.68,clear sky
206,Mercedes,AR,-34.6515,-59.4307,46.51,63,9,7.67,clear sky
207,Terrace Bay,CA,48.7834,-87.1,67.62,93,46,6.91,scattered clouds
208,Westport,US,41.1415,-73.3579,81.95,80,75,1.99,broken clouds
209,Tegh,AM,39.5579,46.4772,69.21,53,1,7.85,clear sky
210,Saint George,US,37.1041,-113.5841,97.39,28,40,8.05,scattered clouds
211,Doka,SD,13.5167,35.7667,74.16,80,100,10.38,overcast clouds
212,Dudinka,RU,69.4058,86.1778,51.22,62,100,6.42,overcast clouds
213,Hambantota,LK,6.1241,81.1185,80.42,78,94,18.66,overcast clouds
214,Matay,EG,28.419,30.7792,87.64,20,0,8.14,clear sky
215,Afyonkarahisar,TR,38.75,30.6667,68.67,30,0,4.54,clear sky
216,Albany,US,42.6001,-73.9662,76.51,85,72,2.06,broken clouds
217,Saint-Augustin,CA,51.226,-58.6502,62.04,76,100,9.53,overcast clouds
218,Chuy,UY,-33.6971,-53.4616,44.98,87,22,6.55,few clouds
219,Carnarvon,AU,-24.8667,113.6333,57.27,85,11,10.36,few clouds
220,Achacachi,BO,-16.05,-68.6833,41.4,79,98,5.26,overcast clouds
221,Goya,AR,-29.14,-59.2626,44.28,50,0,4.23,clear sky
222,Hobyo,SO,5.3505,48.5268,75.83,83,94,24.74,overcast clouds
223,Chukhloma,RU,58.7525,42.6825,56.68,99,91,4.41,overcast clouds
224,Mount Pleasant,US,32.7941,-79.8626,81.0,89,75,4.0,light intensity drizzle
225,Bella Union,UY,-30.2752,-57.6007,43.77,62,0,3.24,clear sky
226,Semenivka,UA,52.1783,32.5818,65.82,91,90,5.86,overcast clouds
227,Ulundi,ZA,-28.3352,31.4162,49.5,28,0,5.99,clear sky
228,Bolobo,CD,-2.1667,16.2333,75.45,45,36,4.21,scattered clouds
229,Berlevag,NO,70.8578,29.0864,44.2,74,66,25.23,broken clouds
230,Formosa,AR,-26.1775,-58.1781,46.38,76,0,3.44,clear sky
231,Thompson,CA,55.7435,-97.8558,69.96,35,20,2.3,few clouds
232,Arlit,NE,18.7369,7.3853,92.75,27,58,8.57,broken clouds
233,Ajdabiya,LY,30.7554,20.2263,76.5,75,0,6.31,clear sky
234,Nuuk,GL,64.1835,-51.7216,47.01,81,75,17.27,light shower snow
235,Totness,SR,5.8833,-56.3167,76.82,89,29,6.87,moderate rain
236,Beloha,MG,-25.1667,45.05,68.85,64,75,13.24,broken clouds
